User,Comment
An_QuriousCat,4:18 Secret sauce is the Best
Neshat Kabir Riya,"এই প্রথম আমি আপনার কোন ভিডিও ফুল দেখলাম।
আর দেখা,শোনার পর মনে হলো আমাকে দিয়েও হবে।হবেই,হতেই হবে।"
Ikra kh,Awww️
Monira akter ety,"Bro how to easily learn English?
Plz help us ..."
KT KT,"Mone hoy kono war er jonno motive korche.
But still I will try. Cuz I have too."
Prince Alien,Great
Alone soul,I think you're the best
RAKIB 69 TH12→ #PQVJRCYPQ,আরে ভাই আমরা বাংগালী তাই বাংলা তে বললে হয়তো অনেকে সহজ হতো বুঝতে
Afŕîñ Rãfî 91,
Syed Ali,tnx bro
Trishna Chatterjee,Bro can I loose weight without excercise?
FlashBANG,"He didn’t got a girlfriend
Because he never tried"
Fatima's Kitchen,Wow
Kitty GaMinG,First Time karo video ato mon diye dekhlam
Ahmmad tanvir,আপনার সেল্ফ কনফিডেন্স বেশি তাই রাফসান আমার প্রিয়! যেমন আমরা কোথাও গেলে হেরিজেটেড ফিল করি কিন্তু তুমি নিজেকে স্মার্ট মনে করো তাই তুমি স্মার্ট
imam manjur,ধন্যবাদ রাফসান
@hadideditz,I am starting form tomorrow . plz pray for me
iti video editor king,Bro you is the best YouTubeer
M A H I M,Actually I'm not fat. It's all about acidity.
Avijit Saha,ভাইয়া আমিও ৩২ কেজি ওজন কমাতে পেরেছি
Nisala  Shyaminda,I start doing today love from Sri Lanka
mahmud hasan,"আমি, সকালে ২টা,  পরটা, দুপুরে ভাত, আর রাতে একটা নান রুটি খাই,"
Razon Khan,"Bro seriously, tmi jai diet list ta bolla same ta follow korle r sokal a 1hours walk korle ki loss hobe ki? R tmi ki sottie e 4mas a ato weight loss korco?"
Ř€X ³³³,BRO went to Gigafat to Gigachad
Jahid Hasan,Where did you Graduate?
MONGOLIAN HCR2 GAMER,I lost 25kg
Apostate Diganto,Nice
নকশা'র মাঠ,Nice
BaBy_ArMy,আমার ভাই ও স্কুল changes করার পর মোট হয়ে গেছে
ninja slayer,"Here are some sunnah of the prophet(SAW)
#...When ever the prophet is mentioned say (sallallahu alaihi wasallam)
#...Dikir after every prayer/you can also add (wa bihamdi) and reciting *Alatul Kursi after every fard salah
*SubahanAllah 33 times
*AllahuAkbar     34 times
*Amhamdulillah 33time
#...While entering home syaing this supplication (Allahumma inni as'aluka khairal mawliji wa khairul makhraji bismillahi wajlana wa bismillahi kjarajna waaalla rabbina tawakkalna)
#... While going outside of home saying this supplication (Bismillah tawakkaltu aaalallah wala hawla wala quwwata illa billah)
#...When entering your home give salam even if there is no one give salam to your self
#...Entering the bathroom with left foot and exiting with right 
*and covering the head and while relieving yourself sitting is wajib
*and when relieving yourself don't face the qibla or your back behind it
#...Entering the masjid with right foot and exiting with left and performing wudu at home
#...Every muslim you cross by give salam
#...Using meswak 
#...Using fragrence 
#...Reading Surah Khaf every Friday
#...Dusting the bed with an edge of an cloth or bromm
#...Eat with your right hand and share your food with the nearest person 
#... if any food drops of the plate pick it up remove the dust and eat it
*after finish eating lick the plate with your fingers and lick your fingers 
#...Before eating and drinking saying bismillah and after finishing eating and drinking saying Allhamdulillah
*if one forgots to say bismillah before eating or drinking say this (bismillahi fi awwalihi wa akhirihi)
#... After finish eating sya this supplication (Allhamdulillah hil ladhi at amani hadha wa razaqanihi min ghayri hawlin minnee wa la quwwatin)
#...Before staring any work or going to do something saying bismillah 
#...After doing wudu saying (La illah illallah wadahu la sarikala)
#...While drinking or eating sitting is recommended and it is an sunnah
#...Sleeping on the right shoulder
#...Not sleeping on your stomach or chest 
#...Before going to sleep 
*sleep in the state of wudu
*Surah ikhlas 3 times
*Surah Nas    3 times
*Surah Falak  3 times
*Ayatul Kursi  3 times
*And saying (Lailahaillallah MuhammadaRrasulullah)
*And reciting Surah Mulk
#...When going to sleep saying this supplication 
(Bismika rabbi wada tu janbi wa bika arfahu in amskata nafsi
fagfir laha wa in arsaltaha fahfazha bima tahfaz bihi ibadaka-s-salihin)or
(Allahuma bismika amutoo wa ahyaa)
#...After waking up saying this supplication (Allhamdulillah hil-lathee ahyana baaada ma amatana wa ilayhin nushoor)
#...After waking up doing wudu and put water inside the nose and blow it
#... when wearing cloths syaing this supplication (Allhamdulillah hil lathee kasanee hatha aththawab warazaqaneehi min ghayri hawlin minnee wala quwwah)
*While wearing entire the right hand first and when taking of start with  left hand same with the shoes
                         Reference
Sahih Al Bukhari: 12.28.153.168.183.216.217.245.568.3295.5010.5623.5628.5630.5631.
6293.6294.6295.6296.6311.6314.
6322.7393.7394
Sahih Muslim:
265.267(c).304.2018(a).2020.2024.
2025.2032.2034.2626
Jami Al Tirmidi:
14.1857.1858.1885.2048.2678.2689.
3426.3458
Abu Dawood:
2.30.51.4023.4141.5094.5095.5096. 5212
Ibn Majah:
303.307.3287.3288
An nasai:
259.
                   Credits goes to
Ismalic knowledge official
Ranga nature English
May Allah guide us and have patience and remember Your lord is not ONE EYED and to read surah kahf every friday 
Plz pray for palistine,Jordan,Syria,Iraq, Iran,Somalia,Yemen,India,China, Bangladesh And for this ummah
Lailahaillallah MuhammadaRrasulullah"
Sayna Mondal,"So u saying that I can lose 40kgs in 4 months just by eating "" kosha murgir mangsho"""
Shyira Khan,You great
rita asma,Tomar vlog valolage egie jao tumi onek valo korbe onek boro hobe
Farida Parvein,U are my crush bro
joy das,Ossam bro
bokhary biswas,I will try to lose my weight
Syed Mudasser Imam,4:11 where Rafsan look at And why
চয়ন দাদা,
Tasfiya Tanha's Vlogs,Thank you viya ato sundor advice daoyar Jono
Ara Abraham,i can't believe ato slim kivabe
Monem Minhaj,bhai ami 126 kg. ami shoday 7.00 pm a just choto 1bati shak r 2 peace  murgir mangsho khai. shathe kichu youtube dekhe weight loss drinks.kintu ogon komse na. can u give me a suggestion?
AYEBAZIBWE DIAN,Thanks dear l am beginning this
AnimePlyz,Yes i can do it
Farjana Akther Akhi,
It's me puja,Thanks vai.darun bolecho amio vbi give up kore di taroor vbi tahole suru kno korlm and ami ghumiye pori.
Diba Mitra,আমার এলাকায় লাল আটার রুটি কোথাও নাইতাই ওজন কমানোটাও স্বপ্ন
Md Anour,Manos caile ki na korte pare cailei sobi kora jay brooo BEST of luck
Next Generation Invest /Bangladesh,Sugar is public enemy #1
Sinthia Shyness,In the morning.... I'm always take green tea
ItsFarasat,Rafsan bhaia tumi onek shukaiso
Sebber Ahmed,"Bro i wanna gain weight
People know me as one name that's chiku"
Aronno Xavier,️️️️️️
হিজাবওয়ালি মেয়ে,Akta manuah chaile ki na korte pare...apnake na dekle seta bujai jai na
Mahfuzur Rahaman,Thanks
Nasil Da,"Current weight : 112 kgs (aug 4/22)
(I'll update my comment within few months. Let's see how much I can change)"
Sheikh Shojib,","
Tashrif  sikder,Thanks
AYEBAZIBWE DIAN,What did u take in morning and evening
Ononna's cooking world,ভাইয়া কথা গুলো বাংলা ভাষায় বললে আমাদের অনেকেরই সুবিধা হতো
Mir Safa,Thanks
Lag,My main enamy is my mum. She wants me to eat everything :/
Raisa,Golummolu chla️
MH RISAT,"Bro amr Waight chilo 81 kg than ami cinta korlam je eta komano lagbe 
Thn same tomar moto e korsi lam thn amar wait 70 kg"
Foodie BD,Love you motu️
Farzana Yasmin,অনেক ধন্যবাদ এমন একটা গুরুত্বপূর্ণ বিষয়ের জন্য। কিন্তু প্রশ্ন হলোঃ প্রতিদিন মুরগির মাংস খেতে হবে? কিংবা এর বিকল্প কি?
Mirza Anam,Your English was so good bro
MMA 4U,Bro what should I eat I'm vegetarian
Ashfaque Hossain Nazmul,আর আমি মোটাই হইনা
Bushra,"Like mom, Not even dad"
Fazle Rabbi,I m 117 now. After I hit 200 I will start gym
ali ashraf samrat,
RIFA THE BTS ARMY. BD ARMY,I'm 11 year old girl and I lose 12 kg
Sadakat hossain,I laughed most when I see the nude jacket that he was wearing
Watermelon Sugar,Hi. Some of ur Language I didn't understand.It'd be nice to have subtitles
Eris Murasaki,"Akhon ""How my skin got bright "" niye akta video banan."
আলভী,"ভাই সব ভালো লাগছে
বাট ইংলিশ একটু কম বলবা"
Sayeda Synthia,"Vaiya , আপনি কাইন্ডলি আপনার ডায়েটের জন্য কোন কোন খাবার গুলো খাওয়া যাবে, একদম প্রপারলি, যে কোন  ডাল কি আপনার ডায়েট চার্ট এ খাওয়া যাবে,বাদাম?
? এটা বললে ভালো হতো।"
Clone Account,Vai asholei onk helpful
Romjan Miah,
sohan khan,ভাইয়া তোমার টিপস নিয়া আমি ৪ মাসে ১০৫ কেজি থেকে এখন আমি ৬২ কেজি
Bless Aqua Garden,Bravo kido
Antor 2020,
Eva Rahman,Graduated
MD Asaduzzaman Apurbo,ভাই বাংলাতে বললে খুশি হতাম
billal Hossain,আমার শুধু পেট কমানোর দরকার কি করা যায়??
𝚂𝚊𝚑 𝙿𝚘𝚛𝚊𝚗,"vaiya aitar ultah transformation er ekta video dien please ...
ami toh onek chikon .
motah howar icha.."
Shahin Farzana,you look  cute in 118 kg
Jubayer Ahmed,1:01 Like his mom
Tanvir tazwar,I loss my 16 kj weaght
Jishan,
RUBAI 5m,Iam 14 year old an kg 50
im bts army girl,অামার কাছে  গলপ টা  অনেক বেশি ভালো লেগেছে ভালো থেক রাফসান দা ছোট ভায়
BD Army Gaming,Bhai is a kegend
MD Imon,ভাই তুমি যদি চাও যে তোমার ভিডিওগুলো সবাই দেখুক এবং কিছু শিখুক তাহলে তুমি বাংলায় কথা বইলো। কারন আমাদের দেশের  অনেকেই ইংলিশ পুরোপুরি বোঝেনা। তাই সবচেয়ে ভালো হয় তুমি বাংলায় কথা বলো।
Priyanka Barman,
Mahaz,Did you legit take singara?  3:12
terrorist group,I'm 73 kg
Md.Ariful Islam Shahed,I look like my friends mom not even my friend dad.
Aimy Maria,"actually...u didnt say what to do for that ""3 days"" .... but i understood that u meant to fast for 3 days....i guss...."
Tasnia Afsheen shreoshi,"bhai dont you need to eat vegetable? sharakhon chicken khayle vegetables e jey energy,protein,vitamin blah blah ase...shey gula na thakle to sick hoye jabe manush."
sky iditz,Vegitarian diet batao bhai
B.M Zia,Bro have any detox's water that's you trying
Rashed Chowdhury,Iam a 12 year old child but I'm very fatty . This is sad for me
The fbd gamers,Hmmm.bro....insallah from now i will try
Google Account,
Shorauv,"এত ভালো ইংলিশ কেমনে শিখছেন, ভিডিও দেন।"
It’sUmaiza,Omg I am also in Scholastica
deva mi,Vai amr khub funny lagse..  But thx for the tips
RRBF ROBIUL HASAN,"ফাটায় দিসেন ভাই,"
Rohan Mondol,"ভাই আমি ১১০ ছিলাম 
চেষ্টায় আছি 
এখন ৯৭"
fahim talecom0361,Wow so cute .you are 100% right
Hosnara Aktar,I try
Droid Helping tech,1:00
PRO GAMING BGMI,"Veg diet pls help,"
lina islam,I big fan your
Festive Bear,"I lost weight with 2 words
""Calorie Deficit""
Ezzzzz lost 12 kgs in 18 days"
Rufaida,I give up the day I begin:[
Tales by Megha,"I losse 22 kg in a month and 15 days  
I just avoid carbs, sugar and sowabin tel"
Sajid12r 2,I am fat
Mini Captures!,Dada weight loss korar por ki loose skin thake and then operation korte hoy?
Adi,"Ma man went from big chungus to 1% shaggy
If you dont understand its a meme"
xTRÉME々 RiDoY,Vai sob bujlm..chest fat kmne komaisen?
Omi Islam,ভাই বাংলা বলতে কি অনেক কষ্ট লাগে
Habibur Rhaman,Age Ami 100 chilam Bhai Ami ekhon 67 kg tao amr boyosh 16 bortoman onujayi
Shariyan Rashid,️ your body. Where do you live in.
Saikul Islam Takbir,সুলতানস ডাইন যেটাই করুক না কেন....এই কয়েকদিন সুলতানস ডাইনের খাবার খাবেন কারন ওরা এই মুহুর্তে  ভুলেও খারাপ কিছু খাওয়াবে না
King Fayaiz,"Bear Grylls be like : Finally a worthy restaurant in Bangladesh||This battle gonna be legendary!!|This food gonna be legendary||Bruh, even Bear Grylls himself would feel disgusted.|Legend||Nice jokes||"
Fabiha Ashrafi Esha,"9:12 this guy seriously doesn't lose a chance to make us laugh, not caring about what the situation is"
taewxffles,"The ending bro from 10:01 you got me,we need more people like you to save this country from immortality ️keep it up bro!"
Shiyam Khaled Chowdhury,Rafsan seriously started showing them memes when they are about to lose their entire business!! Props to that guy for keeping his cool!
Schawonn Momin,Thanks to you for allegorically meaning something bigger here...My county needs justice
Shumz World,শেষের কথাগুলি বুকে লাগলে। একদম ঠিক বলেছেন। এই দেশে বড় লোকেরা গাড়ি দিয়ে মানুষ মেরে ফেলে কিছুই হয় না আর এটা তো কুকুর নিয়ে। দেশ আজ কোথায়? খুব কষ্ট হয়।
Al Kureshi,"I hope foodies will stand with Sultan’s Dine. This is terrible if just one baseless acquisition can ruin a business like that. (I hate their kacchi myself, but still... It's about principles.)"
NB_sledge790 s,Rafsan seriously started showing  them memes while they are about to lose their entire business!! Props to that guys for keeping his cool!
Rokeya Motin,"Great man you are indeed!
I am literally shocked how a guy can flim such a controversial topic impartially!Hatsoff chotobhai"
D. Celestio,"""Bring Justice to Food"". Don't stop until the root of this matter is reached. In a way this might be the situation that best fits your motto."
Shamimara Nawaz,"JazaakAllaah  for the useful video,  Allaah may forgive us and show us the right path,   bless you my son Rafsan, Aameen"
Musaddikur R Sindit,সুলতান ডাইন কে এই দুঃসময় বিনোদন দেওয়ার জন্য Rafsan TheChotoBhai কে ধন্যবাদ..
Tahmid Liam,"2:03 “এটা যদি কুত্তার বিরিয়ানি হয় তাহলে আমার খুব কষ্ট লাগবে। কারণ Dogs are really cute man"""
GAMEAR• EFAZ,Rafsan always brings justice for us
Tanvir Ahmed,Brave word from Rafsan “Power and Money Can Buy Anything in Bangladesh “ Hats Off Bro
Sidratul Muntaha,The best moment 1:15 Rafsan's reaction
Syed Ayman Gaming,"Thank you so much Rafsan Bhaiya  
My Mom also thanked you for your opinion about the situation and also about this video ... My Mom is a big fan of yours . Love from Khulna"
pidoo,Rafsan seriously started showing them memes when they are about to loose their entire business!! Props to that guy for keeping his cool!
neon80s,"This video did not expose anything about Sultan Dine. Rafsan just checked the meat (Which does not have the ""small bones"" in the video) and showed memes about Sultan Dine to the manager"
Tahmina Akhtar,"You always point out the right things,bruhhh"
Himika Jahan,after he left the restaurant his words ️ it's sad but you have to agree with him cuz these are very very true facts of our country
Wahid,The customers took 7 packets only and made a complain. And for such a small amount their higher officers themselves went there this thing is really suspicious. Where they deal with larger amount of orders daily.
Dr. Albe Khan,"IDK what if they really served doggy, but I know that Rafsan can make it really funny 
Thanks for the message at the end. SAY NO TO CORRUPTION."
soach,0:40 funniest intro ever
k-pop lover,"I am damn sure, 
If Bear Grylls comes bd, I definitely found him in Sultan’s dine restaurant with this kacchi....."
sumaiya rahman,Rafsan seriously started showing them memes when they are about loose their entire business!! Props to that guy for keeping his cool!
Fabiha Ashrafi Esha,Finally someone actually tried to find out the truth
FoodieBuzz,Your last minute's speech was mind blowing! inspiring!
mahmuda hossain,"তোমার সব গুলো ভিডিও থেকে আজকের এই ভিডিও টার শেষে তোমার কথাগুলোই আমার মন ছুয়ে গেছে  মাঝে মাঝে মনে হয় পরাধীনতার দেশে আছি,,,,,,আমার আমার করছি কিন্তু আমার বলতে এই দেশে কিছুই নাই।বাগ্গিস আমাদের হায়াত টা টাকা দিয়ে কেনা না"
Md. Jafar Uddin,"Premium food deserves premium quality. They should be so transparent no one would ever bat an eye on them. But like you said, this is Bangladesh, so there's no need to even think about these stuff."
NightMonkey808,Hats off to the editor for all those doggo videos uwu
RAJ CJ,Finally someone tried to find out the truth love you rafsan %️‍keep going bro
💜Insanelyinaaya💜,The end was . Money can do Anything possible in Bangladesh. Hopefully they didn’t do anything like what people are saying. Doing honest business.
AYT,"Imagine hearing the news of ""dog kacchi"" right after the day of ordering a kacchi from sultans dine . That's what happened to me ..I ate that.."
Farhan Akash,"Rafsan 
Truly speaking i had no respect for you man , but after this vedio i am in love with you  
Huge respect man"
Fabiha Ashrafi Esha,"Say no to corruption, you're our future"
Hossain Asiya,Almighty Allah bless you brother
Ahmed Junaid,Very well said at the last . (Rafsan bhaiya) you didn’t say a normal thing it’s a life teaching thank you so much . Love you
mahmudul hasan,"Last speech was splendid brother, keep it up️️️"
Saimon ShakiL,"শেষে আপনার কথাগুলা আসলেই সত্য,বাংলাদেশে টাকা হলে মানুষের মাংসকেও খাসির মাংস বলে চালানো যাবে।।"
Tannies lover,"Justice is matters....
Never want an innocent person to badly suffers...."
piko0.1,RAFSAN IS BECOMING A REPORTER FOR US
Ankur Raz Bongshi,The last message was great and hearttouching.
purple world,"I Love U Rafsan bro , u r just awesome always in every ways"
Mahin Gamer,Me Running Away From Sultan's Dine Because They Saw My Mom Calling Me Kuttar Bachha
Samia Ritu,Rafsan..take love...just like you we all want justice..
Liza Akter,as always a truthful person
jihad rahman,"Wonderful video , good quality, good content & love you Rafsan The Chotobhai  ️️"
Mahim Mahim,"This is what you called bringing Justice
Well done Rafsan bro"
Lima Rahman,"Rafsan be like - 
Forgot the English word while telling English. So he officilaly invented Banglish"
Cockroach,Rafsan as a food vloger < As a reporter
Md Ismail,Honest review ever ️️
Fatema Begum,Your videos always reflect your effort.
Mohammed,"সঠিক তদন্ত হওয়া উচিৎ এবং দোষীদের কে আইনের আওতায় আনা প্রয়োজন। আমি নিজেও মাঝে মাঝে ওদের গুলশান ব্রাঞ্চে খেতে যেতাম, কিসের মাংস মিক্স করে ওরা সেটা শিওর না হতে পারলেও ওরা যে টয়লেটের পাশেই প্লেট ওয়াশ করে তা আজ টিভি তে দেখে প্রচন্ড ঘেন্না লাগলো, নিতান্ত বাধ্য না হলে এই দেশের কোনো রেস্টুরেন্টেই আর খাবো না..."
Amazon AF,রাফসান ভাই notify you. আপনার রিভিউকে যথেষ্ট সম্মান ও বিশ্বাস করি।  সুতরাং এমন কোন মহল বা লোকের সাথে যুক্ত হয়েন না যারা দুর্নীতির সাথে যুক্ত ।  কারন বিশ্বাসের জায়গাটা ভেঙ্গে গেলে আর কখনো গড়ে তুলতে পারবেন না।
i Unknown,Best time to go Sultan Dine right now.
rafsan imran,ভাই কথা শেষের টা ই বাংলাদেশ এমন একটা দেশ যেখানে টাকা থাকলে সব সম্ভব
Tamanna Tabassum Mim,Bringing justice!
MegaLion2009_Ahmed Zulkar Naine,You are best food blogger in south Asia. Keep it up bro!
sabia jerin,Wow!! Rafsan did it better than any other investigative journalism!  Awesome!!
0167 Ferdous Hasan,"You are an honest courageous guy, hats off man"
Success shorts,Justice equaled in the end
Abu Saeed,7:46 business policy caught on 4K
i.am. blessed,"You are a great guy️️
10:30 these lines️️️"
Sumaiya Tayeba,"Was waiting for Rafsan Bhaiya's ""justice"" ."
Tamhid Ahmed,Love you bro you are a real hero ️
Code SCF,"To see another sparkling Youtuber be so sad about his country, really makes one wonder what kind of country he's in.
I really do think we need a Revolution."
Ismail Hossain,Rafsan Being Matured Day By Day.
Sabbir Hossain,এতো বিতর্ক হওয়ার পরেও কি তারা এখনো কুত্তা খাওয়াবে? খবর নিয়ে দেখে এতোদিন তারা ২/৩কেজির খাসি বানিয়ে খাওয়াচ্ছে
Fatema Oboni,10 minutes worth it!
Esa Ahmad,The intro was masterpiece
tahmid  billioniar song,"সুলতানস ডাইন  যেটা করুক না কেন,,,,,,,,,,এই কয়েকদিন  সুলতানস ডাইনের খাবার খাবেন,,, কারন ওরা ওই মুহুরতে ভুলেও খারাপ কিছু  খায়াবেন না।,,,,,,,"
Zahir Senpai,"Bro....
The best, literally the best intro  i' ve ever seen in ur video"
Tashfin Anwar,Ain’t nobody going to talk about how Rafsan almost said Shuwar er mangsho instead of kuttar mangsho  in 5:39
Glitchz,"What a guy dude , randomly found one dog is missing and he started his mission to find that and guess what he went to sultans dine to find it, (justice is cooking in sultan dine's kitchen)"
Sami Rifat,"Assalamu alaikum bhaiya
Eita tbh onek bhalo kaaj korsen ei shomoy e. Like bhaiya just a day later the scandal you stood up first and went and cleared people's misconception. Despite being hesitating you ate the food in front of the camera for the viewers. Loved your messages in the end that you are still uncertain and didn't make any judgements or factual endings but instead told the viewers to be more careful and explained the condition of things in our country
Just love you bhai, keep up the work. Aunty ke salaam diyen bhaiya️"
HM Plugin,"I really thought it was a paid review until the last part ""corruption"". Thank you!"
Nehal Abir,@chotovai definitely you didn't bring justice to anyone. Just went with the flow.
10 Unknown Facts,Bro your sayings got my heart
Shumon Fame TV,"Hats off for the last part..
️ & GOLD"
David Benjamin Singha,Bear Grylls - Bye guys I am going to Bangladesh
Tamzid Azam Priyo,you should really bring that guy who posted the video/complained about the food right infront of the AGM
Abdullah Al Mamun,ভাইয়া তোমার শেষের কথা গুলো অনেক ভালো লাগছে..... এই ভাবে এগিয়ে যাও সাথে দেশটাকে ও এগিয়ে নিয়ে যাও.... দোয়া রইলো তোমার জন্য ️‍
কফি ও কবিতা - Coffee & Poetry,Your report is absolutely amazing without any biases.
Lam Labib,"No One But ""SULTAN DYNE"" Can Gives You ""কুত্তার কাচ্চি"""
Maimuna Akter,That was amazing!!keep it up... Love you
ArefinR,Old Rafsanis back
Md mahmudul Hasan,"Rafsan the chota bhai, your speaking presentation is very beautiful, Rafsan wants to see you wherever there is injustice."
Zulkar9 Rafayel,"For the development of our country , the legal system of the country should be improved"
Aŋʋʀʌʛ,Brother please add English subtitles as well
Sharmin Sultana,"""' ভয় লাগে ভাই, আসলেই ভয় লাগে ""  দারুন ছিল"
Gaming with Tahmid,1:13 got me dying
Weird Faceu,"Kalkei Sultan's Dine e Dinner kore ashchi 
Now you are giving me nightmares Rafsan"
Explorer,Last mints is very precious ️ take love brother 🇧🇩
Sorry Bro,6:13 প্লেট হাতে ধরা লোকটার হাসি টা কিন্তু জোস ...
Dilruba,That's what I was waiting for!!
Ash H,"Dude, take care of yourself. The future of Bangladesh can be finished today (present). As you said, everything is possible in Bangladesh if you have money and power. So please be careful. Always pray for you, mate  from 🇺🇸."
Tanjir Ahmed,bear grills mama be like: thanks sultans dine
Srabanty Barua,"I was really  going to comment  on your  video that  you should make a video on Sultan  Dine  
Fun fact  :he made it. now what should i  comment"
TellingAabrar,I ate there with my family right the day before this news came out
Cooking Studio By Fatema,Last part it was very funny well done bro bigg fan ️️️
Mahdi Asif Skits,0:45 sultan's dine took my brother
LOCAL MOVIE BAZAR,You're just damm good.just awesome.
Ismail Sayeed,"Scientist: Soylent green is just a work of fiction 
Bangali restaurant owner: Watches movie for inspiration"
rajiv siraj,How do the guy was so sure that it was dog/cat bone? Is he or she tried it?
Shadow 🧚,the call recording was hilarious
Farhana Islam mouly,"The last words are very true
Somethings I'm not proud to be an bangladeshi"
Md Shahin Reza,"Last one minute ️️️
09:56 - 10:56"
Himadri1000 Dutta,The last part was insane choto vai. God bless.
⚡︎𝓬𝓱𝓮𝓻𝓻𝔂𝓼 𝓽𝓮𝓪♡,Rafsan looked terrified eating the Biriyani
MD. Laam Khan,"great great great speech.
One of the Best vlog.
Vlog of the year.
""BRING  JUSTICE""."
Mahfuz Ahmmed,Last words my passion️
GAibandha Fun TV,Love you brother
Mbm Tamim,"Dogs are really cute man 
R.I.P Dine's Dog"
Abir Hossain,"You are the definition of ""Fatra Binodon """
Mahedi Hasan,Good to see you rafsan the choto Bai at Sultan Dine
Muhammad Imraan Rezvy,"শেষের কথা গুলা আসলেই সঠিক ভাই!
ভালোবাসা অবিরাম"
Md.Mohiuddin Mim,0:42 starting of this video with dogs was best and accurate.
Faysal Islam,Bringing justice to the dogs!
Debaloy Ghosh Dolan,হাহা  হিহি  রাফসান দা আপনি একটা লেজেন্ড  সুলতানস ডাইনের বিপদের সময় তাদের বিনোদন দিয়ে মাইন্ড ব্লো করার জন্য আপনাকে অনেক ধন্যবাদ  Bring In Justice To You Guys
Faque Life,The starting though!!!!!
Mrs.kimfrombangladesh,কিছুদিন আগেই আমি আর আমার বোন মিলে foodpanda থেকে Sultan's dine এর কাচ্চি order দিয়েছিলাম  এখন আমার এই news টা শুনে বেহস হওয়ার মতো অবস্থা
Rk rocky Cj,"I like you rafsan Bhai,I feel very proud because there is a Bangladeshi YouTuber and vlogger like you in Bangladesh I feel very proud"
Moon Anika,Last part is the best massage by Rafsan 🇧🇩
amran hasan,আলহামদুলিল্লাহ যায় হোক এই উসিল্লায় ভালো খাবার সবাই খাইতে পারবে
Weihow,What if they tranquilized rafsaan in the kitchen
K-Series,love this concept <3
Clara Rahman sahal,You are right viya l will try my best in future to follow your advice  pray for me
Awesome   Blossom,You're insane mannnn!!!!
FilzX FX,Rafsan bringing justice is always good
Jahidul Alam,Love for Sultan dine..
Ayesha Tripty,1:14 the most funniest part
BTS(ARMY)ayesha,Your words just touched my heart Rafsan Vaia
poggyi,Kachhi biryani in Ohio be like:
Ayman Azim Rafi,The intro was on point
Uprising Gamer,1:14 1:15  best reply
AKHLASUR Rahman,"একজনের কথা শুনে আসলে কিছু বলা উচিত না !
২ তারিখ এর অর্ডার এ কমপ্লেইন ফেসবুক পোস্ট করেন ৪ ৫ দিন পর ! 
এটা কি আজিব না ? 
জানি না ভাই কি হচ্ছে এই দেশে"
Shahriar Shovon,"Authority throwing serious logix and rafsan be like:
""I don't care.Checkout some memes""."
Si Rahaman,শেষ কথাগুলো শুনে মন টা ভাল হয়ে  গেল ভাই ️️
MD Ashak Mahbub Chowdhury,That intro with dog
Nabila On YouTube,Only u can do it !!!
Tariq MD. Faysal,Liked the video for the last two minutes.
Abdullah al fahad,1:23 i am dying
SOHAN SHAW VLOGS,That's a great video ️
Sheikh Trisha,Rafsan bhaiya ekdom amazing
Rima Mostari,The Ending  10:01
Irfan Habib Mondal,One of the best roaster rafsan the chotovai
Parvez Khan,You are too good and what speech is not in the end just a wonderful speech
FORHAD,Take Love Brother️
Sadia Tabassum,''তোমারও একদিন বড় হবে আর আমিও একদিন বড় হবো ''  তার মানে আপনি এখনো ছোট
Jannatul Ferdous Avash,Thank you for this video ️️
Rahman,"When he said""kutta'r mangsho"""
Sajedur Rahman Sajul,Well done
MOHCENZO,9:50 100% True Bro
Motiur Rahman Jibon,Love you brother
sajjad hossain,What a video man
DREAM BOY,ভিডিওর শেষের কথা গুলো অন্তর চুয়ে গেলো..
Hamja traders bd,Thank u for ur honesty
সোনার বাংলা,হাজার সালাম সাহসী মানুষ কথা গুলো ভালো
Syeda Afsana Tithi,নিউজটা জানার পর।সত্যি দুই দিন হাস্পাতালে ছিলাম।।
Md.Hanif Mollah,রাফসান ভাইকে  ধন্যবাদ   আমাদের দেশে  অভিযোগ আসলেই সে অপরাধী     এটা ঠিকনা
woakil Hossain,You are amazing Rafsan
Moyda Shuji,That intro was so cool
Miskatul Mim 1810,"Ai kahini te ai dialogue ta khub mone porche.. ""রাফসান হকের রান্না কখনো খারাপ হতে পারেই না"""
Gaming With Sumon,Love you Choto Vai
Nafis Ahmed,0:42 Funniest Part
Apu Sen,"ভিডিওর শেষ কথাগুলো চমৎকার বলেছেন ভাই।
বাস্তব সত্য কথা বলেছেন।"
rain andsnow19,"Manager: Amader sathe faizlami kora ki thik? 
Rafsan: apni ki hascilen?"
PILLAGER IS PLAY,the dogs be like : We want justice for our poeple
Fahad Karim,এই ভিডিওটা দেখার পরে আপনার একজন ফ্যান হয়ে গেলাম ভাই️
Bablu Sarker,Big fan bro from today
𝙺𝚘𝚞𝚜𝚑𝚒𝚔,Love form India ️
Golam Rosol,ভাইয়া আপনার লাশ কথা গুলো আমার খুব ভালো লাগছে
jitu nandy,ভাই আপনার শেষের কথাগুলো শুনে আমার খুব কষ্ট লাগতেছে এটাই দেশ কিছু করার নেই সব টাকার খেলা
See More Don't Mind ¥,9:30 is pure line about Bangladesh
Sourav saha,last speech just awesome chotovai ️
V3n0m,The next day: Congratulations you are banned from Sultans Dine
Marjuk Sheikh,"""নাম যেহেতু আছে বদনাম তো হবেই"""
